,0,1,2
0,Unnamed: 0,17778.82278126489,0.0
1,Appt_Length,7.726343721771048,0.005442084235939782
2,Made_Lead_Days_Work,7936.826929225535,0.0
3,Made_Lead_Days_Calendar,11732.776360097234,0.0
4,Sibley_ID,1495.8662638178039,0.0
5,PopDensity,3.539438106576872e-25,0.9999999999995253
6,distance_google,0.17668763065835208,0.6742354289328627
7,duration_google,0.15222267038063317,0.6964202799943082
8,distance_bird,644.1228096402939,4.2392900335960904e-142
9,count_app,38.99254277880173,4.254275135690312e-10
10,count_miss,298.9281061895494,5.6403012380254895e-67
11,count_cancel,3.071403910346378,0.07968063251034163
12,diff_pay_count,1.9140358611934716,0.1665156369933083
13,Appt_Made_Year,0.0015248335634369169,0.968851228494216
14,Appt_Made_Month,10.206401548554103,0.001399539886302046
15,Appt_Made_Day,0.28811610738656135,0.5914303097629239
16,Appt_Made_Hour,0.4176081168197184,0.5181329667632393
17,Appt_Made_Min,8.922802569915765,0.0028163200581580875
18,Appt_Year,0.0053773282068474365,0.941543306139784
19,Appt_Month,19.551935847023568,9.790148038376048e-06
20,Appt_Day,0.01934373728811803,0.8893855377827835
21,Appt_Time_Hour,0.042755101540277556,0.8361870904280994
22,Appt_Time_Min,2.554877324730029,0.10995434887060089
23,dept_14,0.0,1.0
24,provider_7,0.6714578249044155,0.4125438042391648
25,provider_12,0.4392886623718276,0.50746598768129
26,provider_28,1.9012404116557495,0.1679395432093992
27,provider_73,1.0778674175909622,0.29917511951114517
28,appt_log_type_0,7.873141876893019,0.005017440050412578
29,appt_log_type_1,1.4004158392609627,0.23665395801331274
30,appt_log_type_2,0.16340888742300172,0.6860372335650895
31,appt_log_type_3,4.005364385712417,0.04535569218119471
32,appt_log_type_4,5.245663848771758,0.022001532136989244
33,visit_type_7,0.5224388329190109,0.4698031954062657
34,visit_type_9,0.1741462776396703,0.6764528653881765
35,visit_type_11,27.83473629114809,1.321323737064889e-07
36,visit_type_12,0.418817455658448,0.5175277014131597
37,visit_type_14,0.1741462776396703,0.6764528653881765
38,visit_type_15,3.3571367424051304,0.06691431757640282
39,visit_type_16,5.586059527370593,0.01810397831700837
40,visit_type_17,,
41,visit_type_19,,
42,visit_type_23,1.5354792760803533,0.21529196217376032
43,visit_type_24,0.1741462776396703,0.6764528653881765
44,visit_type_27,0.5245663848771754,0.46890026559622067
45,visit_type_28,5.814125650352396,0.0158979551070384
46,visit_type_29,,
47,visit_type_30,0.8707313881983515,0.3507529090443483
48,visit_type_31,1.0448776658380219,0.3066897630536564
49,visit_type_38,0.1741462776396703,0.6764528653881765
50,visit_type_42,1.0448776658380219,0.3066897630536564
51,age_bucket_0,22.91162354257376,1.6962302627923284e-06
52,age_bucket_1,24.487262660719033,7.480271420636882e-07
53,age_bucket_2,1.385394563950033,0.23918438980363393
54,age_bucket_3,1.0453562050596026,0.30657902397424164
55,age_bucket_4,3.5398570403343705,0.05991062464180344
56,payor_type_0.0,30.493993813480223,3.349017490062942e-08
57,payor_type_1.0,42.41435051949761,7.3846216438584e-11
58,payor_type_2.0,8.945042549500451,0.0027822361374618483
59,payor_type_3.0,15.115699022260666,0.00010111887593059725
60,payor_type_4.0,11.927682612584006,0.0005530593031027005
